grok_thr,exc_thr,n,spearman,r2_logistic,r2_logistic_arch,delta_r2_arch,a,b
0.9,0.9,48,0.9892496704141716,0.9904564634889265,0.9931119523589911,0.002655488870064615,-1.7622632122260067,4.077175076176167
0.9,0.95,48,0.9849332407326168,0.9904987406555824,0.9926878678368147,0.00218912718123232,-2.302415987504798,3.8769982229584725
0.9,0.99,40,0.9786955559047135,0.988810336084264,0.9895107220526778,0.0007003859684137081,-3.45152606310753,3.953804296746442
0.95,0.9,48,0.9785790006814528,0.9660960950702248,0.9798724327058033,0.013776337635578506,-1.5872551854238568,4.648034128778048
0.95,0.95,48,0.9799109797823803,0.9729427631261685,0.9798336411373376,0.006890878011169166,-2.217198403310689,4.356525194568145
0.95,0.99,40,0.9771000606563075,0.9737711701331496,0.987061499697402,0.013290329564252357,-3.8847391567549985,5.217726948258446
0.99,0.9,34,0.8390646884421614,0.5588634136438511,0.8545365817563,0.2956731681124489,-0.677757830865925,2.3458442515108815
0.99,0.95,34,0.8289775719690862,0.5733657233018783,0.8564684144445254,0.2831026911426471,-1.017260052181536,2.2846854139300583
0.99,0.99,30,0.8522146404077864,0.6018158157254867,0.8146594514286223,0.21284363570313558,-1.9639167077075008,2.158429208657228
