arch,condition,seed,rho,wd,lesion,side,D50_rule,D50_exc,max_overreg,overreg_at_rule_intact,SI_q0.5,d_test_q0.5,d_exc_q0.5,SI_k64,d_test_k64,d_exc_k64,SI_k256,d_test_k256,d_exc_k256
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1002,0.02,0.1,erand,in,0.644526157928045,0.39306358381467066,0.41891891891891886,0.17567567567567563,0.6324717655228423,0.10326397021289357,0.7357357357357359,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1002,0.02,0.1,etop,in,0.38272785898518524,0.7017241379310278,0.027027027027027,0.027027027027027,-0.2536367553933536,0.6320151337717321,0.3783783783783785,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1002,0.02,0.1,lowpass,in,20.3515482695995,38.52229299364397,0.3648648648648648,0.3648648648648648,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1002,0.02,0.1,neurons,units,,,0.027027027027027,0.027027027027027,,,,0.0009008197459690059,-0.0009008197459690059,0.0,0.024234080039863604,-0.001711557517340978,0.022522522522522626
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1002,0.02,0.1,randk,both,,,0.0135135135135135,0.0135135135135135,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1002,0.02,0.1,randk,in,,,0.009009009009009,0.009009009009009,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1002,0.02,0.1,randk,out,,,0.0,0.0,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1002,0.02,0.1,randunits,units,,,0.0015015015015015,0.0015015015015015,,,,0.00015013662432827868,-0.00015013662432827868,0.0,9.008197459703382e-05,-9.008197459703382e-05,0.0
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1002,0.02,0.1,residual,both,,,0.0135135135135135,0.0135135135135135,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1002,0.02,0.1,residual,in,,,0.009009009009009,0.009009009009009,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1002,0.02,0.1,residual,out,,,0.0,0.0,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1002,0.02,0.1,topk,both,0.8721540543061159,0.8802816901407093,0.009009009009009,0.0,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1002,0.02,0.1,topk,in,0.8759903270381024,0.8797619047617675,0.0135135135135135,0.0,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1002,0.02,0.1,topk,out,0.8735284650049323,,0.0,0.0,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1000,0.02,0.3,ebottom,in,0.7434006086816464,0.24204545454534848,0.981981981981982,0.981981981981982,0.9775675594520743,-9.008197459681178e-05,0.9774774774774775,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1000,0.02,0.3,erand,in,0.5166807254322602,0.34245810055850123,0.29729729729729726,0.29729729729729726,0.34325290068015946,0.4405308831036243,0.7837837837837838,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1000,0.02,0.3,etop,in,0.21514461703262774,0.5199999999998519,0.0045045045045045,0.0,-0.5082907878601961,0.9722547518241601,0.463963963963964,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1000,0.02,0.3,lowpass,in,39.601882012322335,48.92035398235015,0.1036036036036036,0.0,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1000,0.02,0.3,neurons,units,,,0.009009009009009,0.009009009009009,,,,0.0,0.0,0.0,0.0045045045045045695,0.0,0.0045045045045045695
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1000,0.02,0.3,randk,both,,,0.081081081081081,0.081081081081081,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1000,0.02,0.3,randk,in,,,0.0405405405405405,0.0405405405405405,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1000,0.02,0.3,randk,out,,,0.009009009009009,0.009009009009009,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1000,0.02,0.3,randunits,units,,,0.0,0.0,,,,-0.0015015015015015603,0.0,-0.0015015015015015603,-0.001531528826367164,3.0027324865603926e-05,-0.0015015015015015603
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1000,0.02,0.3,residual,both,,,0.081081081081081,0.081081081081081,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1000,0.02,0.3,residual,in,,,0.0405405405405405,0.0405405405405405,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1000,0.02,0.3,residual,out,,,0.009009009009009,0.009009009009009,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1000,0.02,0.3,topk,both,0.8728382147836947,0.8737745098037869,0.0225225225225225,0.0225225225225225,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1000,0.02,0.3,topk,in,0.8747825887951863,0.8674242424241108,0.0495495495495495,0.0495495495495495,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1000,0.02,0.3,topk,out,0.8832022580332453,,0.0,0.0,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1001,0.02,0.3,ebottom,in,0.6777048655567021,0.29687499999966394,0.7387387387387387,0.7387387387387387,0.7636115080939874,0.08773984325736406,0.8513513513513514,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1001,0.02,0.3,erand,in,0.4883585920309285,0.39489051094844385,0.07957957957957953,0.0075075075075075005,0.2139514525786033,0.5277902891631384,0.7417417417417417,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1001,0.02,0.3,etop,in,0.31521617852157074,0.3039999999999644,0.045045045045045,0.009009009009009,-0.2580304834155839,0.8616340870191875,0.6036036036036037,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1001,0.02,0.3,lowpass,in,23.747357293869662,36.190476190496994,0.3873873873873873,0.3873873873873873,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1001,0.02,0.3,neurons,units,,,0.036036036036036,0.036036036036036,,,,0.00018016394919373457,-0.00018016394919373457,0.0,0.013873841411901178,-0.00036032789838758017,0.013513513513513598
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1001,0.02,0.3,randk,both,,,0.0855855855855855,0.0855855855855855,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1001,0.02,0.3,randk,in,,,0.0315315315315315,0.0315315315315315,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1001,0.02,0.3,randk,out,,,0.0045045045045045,0.0045045045045045,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1001,0.02,0.3,randunits,units,,,0.0,0.0,,,,6.005464973128186e-05,-6.005464973128186e-05,0.0,7.401486830834377e-17,-7.401486830834377e-17,0.0
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1001,0.02,0.3,residual,both,,,0.0855855855855855,0.0855855855855855,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1001,0.02,0.3,residual,in,,,0.0315315315315315,0.0315315315315315,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1001,0.02,0.3,residual,out,,,0.0045045045045045,0.0045045045045045,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1001,0.02,0.3,topk,both,0.870205544479129,0.8761574074072778,0.0045045045045045,0.0045045045045045,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1001,0.02,0.3,topk,in,0.8745188342038877,0.8761682242989346,0.0045045045045045,0.0045045045045045,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1001,0.02,0.3,topk,out,0.8834007012757883,,0.0,0.0,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1002,0.02,0.3,ebottom,in,0.6130234297108313,0.25617977528075875,0.8603603603603603,0.8603603603603603,0.8517193889682854,0.08521754796865166,0.936936936936937,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1002,0.02,0.3,erand,in,0.5151108099489394,0.44178082191761764,0.12012012012012009,0.045045045045045,0.18598573350397496,0.4416418941236527,0.6276276276276277,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1002,0.02,0.3,etop,in,0.24108361774731057,0.5567567567564162,0.0135135135135135,0.0135135135135135,-0.544328852769534,0.9497342581749394,0.4054054054054054,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1002,0.02,0.3,lowpass,in,41.18335901398408,40.11940298510074,0.0945945945945946,0.0,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1002,0.02,0.3,neurons,units,,,0.0045045045045045,0.0045045045045045,,,,9.008197459681178e-05,-9.008197459681178e-05,0.0,0.003964012656922922,0.0005404918475814258,0.0045045045045043475
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1002,0.02,0.3,randk,both,,,0.036036036036036,0.036036036036036,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1002,0.02,0.3,randk,in,,,0.0225225225225225,0.0225225225225225,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1002,0.02,0.3,randk,out,,,0.0,0.0,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1002,0.02,0.3,randunits,units,,,0.0,0.0,,,,-0.0001501366243283897,0.0001501366243283897,0.0,-0.0011110110200282335,0.0011110110200282335,0.0
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1002,0.02,0.3,residual,both,,,0.036036036036036,0.036036036036036,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1002,0.02,0.3,residual,in,,,0.0225225225225225,0.0225225225225225,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1002,0.02,0.3,residual,out,,,0.0,0.0,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1002,0.02,0.3,topk,both,0.8713183566268318,0.8708920187792167,0.0315315315315315,0.0315315315315315,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1002,0.02,0.3,topk,in,0.8738037176772454,0.8695121951218219,0.0495495495495495,0.0495495495495495,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.3_tiersNone,1002,0.02,0.3,topk,out,0.8738550148037217,,0.0,0.0,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1000,0.05,0.1,ebottom,in,0.7482914923290246,0.47162921348292275,0.5621621621621622,0.4324324324324324,0.5437880363022242,0.047202954688766785,0.590990990990991,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1000,0.05,0.1,erand,in,0.5674531192545353,0.5516274864374575,0.07267267267267263,0.019219219219219198,0.00864743673499635,0.3198810917935322,0.32852852852852854,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1000,0.05,0.1,etop,in,0.4814228110593871,0.6596446700505934,0.0126126126126126,0.0,-0.42950322631432447,0.5141879109990093,0.08468468468468482,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1000,0.05,0.1,lowpass,in,29.736856442393112,36.38871473356252,0.1369369369369369,0.0324324324324324,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1000,0.05,0.1,neurons,units,,,0.036036036036036,0.036036036036036,,,,0.0014413115935499876,-0.0014413115935499876,0.0,0.01522482756605803,-0.004414016755247219,0.010810810810810811
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1000,0.05,0.1,randk,both,,,0.0018018018018018,0.0018018018018018,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1000,0.05,0.1,randk,in,,,0.0,0.0,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1000,0.05,0.1,randk,out,,,0.0,0.0,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1000,0.05,0.1,randunits,units,,,0.0,0.0,,,,-0.002191994715190937,0.002191994715190937,0.0,-0.00657582183570841,0.008377623637510193,0.0018018018018017834
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1000,0.05,0.1,residual,both,,,0.0018018018018018,0.0018018018018018,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1000,0.05,0.1,residual,in,,,0.0,0.0,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1000,0.05,0.1,residual,out,,,0.0,0.0,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1000,0.05,0.1,topk,both,0.8410346632545062,0.8759276437846569,0.0054054054054054,0.0,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1000,0.05,0.1,topk,in,0.8667148032111518,0.8768761726077479,0.0072072072072072,0.0072072072072072,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1000,0.05,0.1,topk,out,0.8484902650972288,,0.0018018018018018,0.0,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1001,0.05,0.1,ebottom,in,0.7451355851568742,0.48774834437053843,0.5117117117117117,,0.4673032459538179,0.06603008737951543,0.5333333333333333,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1001,0.05,0.1,erand,in,0.5368527820708603,0.5280249110319455,0.1417417417417417,,0.09077909546335812,0.31462630994204727,0.40540540540540543,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1001,0.05,0.1,etop,in,0.3003289473684176,0.651886792452649,0.0234234234234234,,-0.4798584008745257,0.5717502927664175,0.09189189189189184,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1001,0.05,0.1,lowpass,in,46.96693272520281,40.18658892129544,0.1099099099099099,,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1001,0.05,0.1,neurons,units,,,0.018018018018018,,,,,0.006125574272587975,-0.006125574272587975,0.0,0.021079668985263034,-0.015674263579857683,0.00540540540540535
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1001,0.05,0.1,randk,both,,,0.0018018018018018,,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1001,0.05,0.1,randk,in,,,0.0,,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1001,0.05,0.1,randk,out,,,0.0,0.0,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1001,0.05,0.1,randunits,units,,,0.0012012012012012,,,,,-0.010419481728372851,0.010419481728372851,0.0,-0.04305918385731015,0.04305918385731015,0.0
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1001,0.05,0.1,residual,both,,,0.0018018018018018,,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1001,0.05,0.1,residual,in,,,0.0,,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1001,0.05,0.1,residual,out,,,0.0,0.0,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1001,0.05,0.1,topk,both,0.7546113010617147,0.8763914656770498,0.0126126126126126,,,,,,,,,,
