arch,condition,seed,task,rho,wd,step,basis,side,mode,energy_share,rank,dc_share
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,40,0.0033324105131219135,31,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,41,0.0033981559760016752,30,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,42,0.007945562331462208,15,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,43,0.0022310311672271745,62,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,44,0.07183539725731873,8,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,45,0.002105309371540483,64,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,46,0.07836563899019103,6,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,47,0.08170997100830725,5,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,48,0.002433262653179138,52,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,49,0.02129597793193023,10,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,50,0.10199647123910921,1,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,51,0.0022811860039075853,61,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,52,0.0028616916345907757,41,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,53,0.0029536049194768183,36,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,54,0.0022945460727278985,60,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,55,0.006232062142582487,18,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,56,0.0029489982752968257,37,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,57,0.007887875668400284,16,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,58,0.01263223434138872,13,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,59,0.002082699930178973,67,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,60,0.0024428619728189094,51,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,61,0.003917767092336303,26,0.016564433772133895
