arch,condition,seed,task,rho,wd,step,lesion,side,param,dose,control_seed,test_acc,test_ce,train_reg_acc,train_reg_ce,acc_exc,overreg_rate,other_err_rate,exc_ce,exc_logit_gap,best_model,gcm_best,n_probe,dbic_gcm_vs_uniform,dbic_rulefam_vs_gcm,dbic_rulex_vs_rule,gcm_circular_lambda,gcm_hamming_lambda,rule_eps,rulex_m,rulex_eps,bic_uniform,bic_gcm_hamming,bic_gcm_circular,bic_gcm_linear,bic_rule,bic_rulex,k_modes,n_modes_touched,n_units_total,unit_rank,attr_min_selected,dprime_min_selected
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,none,-,0,0.0,,0.7436267002972705,0.8323314785957336,0.9999080713366427,0.0005752500728704035,1.0,0.0,0.0,0.0028857954312115908,17.16347885131836,rulex,gcm_circular,11323,13302.95266687838,58785.48269882657,2671.1991177256423,8.529552420184924,0.05,0.273228320802005,1.0,0.2542864406779661,113319.36804444087,113461.46289651794,100016.41537756249,101097.82405084893,43902.13179646156,41230.93267873592,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,in,0,0.0,,0.0072966399423475365,17.549970626831055,0.005975363118220261,17.414710998535156,0.0,0.013513513513513514,0.9864864864864865,17.447479248046875,0.39818599820137024,uniform,gcm_linear,11323,-2937.018254161201,2927.903930618224,-9.334591334321885,0.2,0.05,0.9999,0.0,0.9999,113319.36804444087,116416.98951557485,116416.89784378334,116256.38629860207,113328.48236798384,113337.81695931817,61.0,0.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,in,1,1.0,,0.010899918926222862,13.624383926391602,0.010847582276153706,13.38620662689209,0.0,0.018018018018018018,0.9819819819819819,14.7228364944458,-1.403056263923645,gcm_linear,gcm_linear,11323,2607.3832808729785,-2590.657560882755,-33.96172746056982,2.8284271247461907,1.473612599456155,0.9948884711779449,0.0,0.9999,113319.36804444087,113054.29770968913,111185.33631176277,110711.98476356789,113302.64232445064,113336.60405191121,61.0,1.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,in,2,2.0,,0.009548689307269615,13.709015846252441,0.013697370840227983,13.619026184082031,0.0045045045045045045,0.02252252252252252,0.972972972972973,13.797391891479492,-0.7495220303535461,gcm_circular,gcm_circular,11323,1388.0626326796191,-1383.4950510412455,-22.217752613534685,2.8284271247461907,0.7813908624077989,0.9973942355889724,0.0,0.9999,113319.36804444087,113082.7241663658,111931.30541176125,112494.43981594368,113314.8004628025,113337.01821541603,61.0,2.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,in,3,3.0,,0.009278443383478966,14.126115798950195,0.011399154256297114,13.90165901184082,0.0,0.009009009009009009,0.990990990990991,14.659764289855957,-0.8797261118888855,gcm_circular,gcm_circular,11323,1295.6896783110278,-1295.06746591095,-18.449882020169753,2.2681341819523335,1.473612599456155,0.9973942355889724,0.0,0.9999,113319.36804444087,112967.81705900675,112023.67836612984,112860.30108589455,113318.74583204079,113337.19571406096,61.0,3.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,in,4,4.0,,0.007747049815331952,14.141417503356934,0.009376723662437948,13.921059608459473,0.0045045045045045045,0.009009009009009009,0.9864864864864865,14.527812004089355,-0.08702217787504196,gcm_circular,gcm_circular,11323,553.8943616148608,-562.890352727889,-9.334591334321885,1.8188316122170607,1.8206298492503845,0.9999,0.0,0.9999,113319.36804444087,113076.98337669887,112765.473682826,113027.63899463936,113328.3640355539,113337.69862688822,61.0,4.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,in,6,6.0,,0.010449509053238448,13.793755531311035,0.015811730097444382,13.623662948608398,0.02252252252252252,0.009009009009009009,0.9684684684684685,13.671940803527832,0.26770785450935364,gcm_circular,gcm_circular,11323,557.7706347700732,-548.6001223536732,-26.524852316710167,1.8188316122170607,1.8206298492503845,0.9973942355889724,1.0,0.9999,113319.36804444087,113281.35713605021,112761.5974096708,113097.76556915566,113310.19753202447,113336.72238434118,61.0,6.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,in,8,8.0,,0.012431312494369877,13.788863182067871,0.017006802721088437,13.4158296585083,0.009009009009009009,0.0045045045045045045,0.9864864864864865,13.167155265808105,0.35198789834976196,gcm_circular,gcm_circular,11323,359.06040680376464,-326.41804769131704,-49.43461997050326,1.8188316122170607,1.473612599456155,0.9948884711779449,1.0,0.9999,113319.36804444087,113343.89260594994,112960.3076376371,113245.14351696297,113286.72568532842,113336.16030529892,61.0,8.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,in,12,12.0,,0.04531123322223223,7.870741367340088,0.06903842618128332,7.173933982849121,0.02702702702702703,0.03153153153153153,0.9414414414414415,14.422407150268555,-6.152281284332275,gcm_circular,gcm_circular,11323,1082.6681624647754,-1.4218669649708318,-7.097963229258312,2.2681341819523335,2.2493653007613967,0.9623135338345865,0.44,0.9660084745762713,113319.36804444087,113009.30798575802,112236.69988197609,112675.92149204537,112238.12174894106,112245.21971217032,61.0,12.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,in,16,16.0,,0.05756238176740834,7.467590808868408,0.1038793895936753,6.444277763366699,0.03153153153153153,0.04054054054054054,0.9279279279279279,13.969423294067383,-6.130490779876709,rulex,gcm_circular,11323,1008.2078324553149,648.5511134524713,2.949296710707131,2.2681341819523335,2.7790625636246915,0.9497847117794486,0.42,0.9490627118644068,113319.36804444087,112925.93690335462,112311.16021198555,112618.0710272245,111665.55839524379,111662.60909853308,61.0,16.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,in,24,24.0,,0.07287631744887849,6.86054801940918,0.17990439419010848,5.308362007141113,0.04504504504504504,0.03153153153153153,0.9234234234234234,11.922268867492676,-4.138637542724609,rulex,gcm_circular,11323,1340.8613663908618,1112.6932631168602,19.16731010923104,2.8284271247461907,3.433496875730229,0.9347501253132832,0.6,0.9321169491525424,113319.36804444087,112784.25422162519,111978.50667805,112426.74147934243,110884.98072504238,110865.81341493315,61.0,24.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,in,32,32.0,,0.0962976308440681,6.430734157562256,0.31715388858246,4.065756797790527,0.16216216216216217,0.04054054054054054,0.7972972972972973,8.753361701965332,-0.7465190887451172,rulex,gcm_circular,11323,1401.8585320707934,2538.1736917182716,143.343732218098,2.8284271247461907,3.433496875730229,0.9096924812030075,0.84,0.915171186440678,113319.36804444087,112525.43817343103,111917.50951237007,112339.84427017494,109522.6795528699,109379.3358206518,61.0,32.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,in,48,48.0,,0.4279794613097919,2.2715964317321777,0.9479683765398051,0.1715114861726761,0.7657657657657657,0.02252252252252252,0.21171171171171177,1.0153608322143555,9.263961791992188,rulex,gcm_circular,11323,2991.759657025017,30824.42726292838,1545.651686625628,3.527128184768097,0.05,0.5839431077694236,0.98,0.5762559322033899,113319.36804444087,113333.09263989393,110327.60838741585,111004.15560716912,81048.8328111131,79503.18112448747,61.0,48.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,in,74,74.0,,0.7436267002972705,0.8323314785957336,0.9999080713366427,0.0005752500728704035,1.0,0.0,0.0,0.0028857954312115908,17.16347885131836,rulex,gcm_circular,11323,13302.95266687838,58785.48269882657,2671.1991177256423,8.529552420184924,0.05,0.273228320802005,1.0,0.2542864406779661,113319.36804444087,113461.46289651794,100016.41537756249,101097.82405084893,43902.13179646156,41230.93267873592,61.0,74.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,out,0,0.0,,0.007476803891541302,5.003945827484131,0.0058834344548630265,5.003945827484131,0.0,0.009009009009009009,0.990990990990991,5.003945827484131,0.0,uniform,gcm_hamming,11323,-3448.655887411529,3439.5711469760427,-9.334591334336437,0.2,0.05,0.9999,0.0,0.9999,113319.36804444087,116768.0239318524,116768.38329643532,116919.707059329,113328.45278487635,113337.78737621069,57.0,0.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,out,1,1.0,,0.006395820196378705,5.055394649505615,0.013237727523441808,4.897151947021484,0.0045045045045045045,0.0045045045045045045,0.9909909909909911,4.764134883880615,0.30987316370010376,uniform,gcm_hamming,11323,-64.94182585619274,55.472505023368285,-9.334481940270052,0.2,1.8206298492503845,0.9999,0.5,0.9999,113319.36804444087,113384.30987029706,113409.58599418923,113414.04355949684,113328.83736527369,113338.17184721396,57.0,1.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,out,2,2.0,,0.006305738221781821,5.096658706665039,0.015627872770729915,4.853768825531006,0.018018018018018018,0.009009009009009009,0.9729729729729729,4.652878284454346,0.5077137351036072,uniform,gcm_hamming,11323,-54.52112876836327,45.05180793553882,-9.275425119325519,0.2,2.2493653007613967,0.9999,1.0,0.9999,113319.36804444087,113373.88917320923,113418.86269325539,113423.44845718666,113328.83736527369,113338.11279039302,57.0,2.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,out,3,3.0,,0.00540491847581299,5.130192279815674,0.018569589998161426,4.809600830078125,0.03153153153153153,0.009009009009009009,0.9594594594594594,4.532372951507568,0.6811239123344421,gcm_hamming,gcm_hamming,11323,100.02798168522713,-109.793133592917,-9.1866757968819,0.24940562575637185,2.7790625636246915,0.9999,1.0,0.9999,113319.36804444087,113219.34006275564,113382.19043773934,113380.21394390389,113329.13319634856,113338.31987214544,57.0,3.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,out,4,4.0,,0.00540491847581299,5.162748336791992,0.021143592572164,4.770676612854004,0.05405405405405406,0.0045045045045045045,0.9414414414414415,4.4156107902526855,0.8539258241653442,gcm_hamming,gcm_hamming,11323,131.50019752353546,-141.2949325387017,-9.00917715196556,0.38784548949737163,2.7790625636246915,0.9999,1.0,0.9999,113319.36804444087,113187.86784691733,113390.84254116341,113388.17627853676,113329.16277945603,113338.171956608,57.0,4.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,out,6,6.0,,0.0048644266282316904,5.248690605163574,0.036036036036036036,4.634152889251709,0.0990990990990991,0.0045045045045045045,0.8963963963963965,4.093066692352295,1.3262946605682373,gcm_hamming,gcm_hamming,11323,335.8621511158999,-345.834384775997,-8.713346077100141,0.48365423502439153,3.433496875730229,0.9999,1.0,0.9999,113319.36804444087,112983.50589332497,113424.17030758187,113428.03573173805,113329.34027810096,113338.05362417806,57.0,6.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,out,8,8.0,,0.003783442933069093,5.322940826416016,0.04853833425261997,4.492864608764648,0.13963963963963963,0.0045045045045045045,0.8558558558558559,3.7726187705993652,1.8585474491119385,gcm_hamming,gcm_hamming,11323,636.9760297628818,-647.3032607128116,-8.447098109711078,0.48365423502439153,3.433496875730229,0.9999,1.0,0.9999,113319.36804444087,112682.39201467799,113419.60793823525,113421.75892776772,113329.6952753908,113338.14237350051,57.0,8.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,out,12,12.0,,0.036032789838753264,4.104655742645264,0.29481522338665195,2.8435215950012207,0.22072072072072071,0.0,0.7792792792792793,2.905775308609009,2.865053415298462,rulex,gcm_hamming,11323,645.7129146242514,197.1038223269279,162.52289096085588,1.458532947443422,3.433496875730229,0.9723365914786968,1.0,0.9660084745762713,113319.36804444087,112673.65512981662,113347.30479091927,113417.23458332344,112639.07419845054,112476.55130748969,57.0,12.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,out,16,16.0,,0.061976398522655615,3.8269550800323486,0.4537598823313109,2.2324938774108887,0.36936936936936937,0.0045045045045045045,0.6261261261261262,2.2899532318115234,3.840916633605957,rulex,gcm_hamming,11323,609.9399964750046,1586.9842441851652,360.4045962415548,1.1696070952851467,3.433496875730229,0.9447731829573934,1.0,0.9321169491525424,113319.36804444087,112709.42804796586,113367.06174320503,113426.85832733437,111482.84840002225,111122.4438037807,57.0,16.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,out,24,24.0,,0.05161697144401405,4.082693099975586,0.5509284794999081,1.8574821949005127,0.5630630630630631,0.0,0.4369369369369369,1.4638206958770752,5.674069881439209,rulex,gcm_hamming,11323,1577.598247024187,286.6509525326255,530.3436877908389,1.1696070952851467,4.2420422447320325,0.9547962406015037,1.0,0.9490627118644068,113319.36804444087,111741.76979741668,113292.55406421944,113356.24495453163,111985.4625326749,111455.11884488405,57.0,24.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,out,32,32.0,,0.043149265831907035,4.3993635177612305,0.6382607096892812,1.5366601943969727,0.7702702702702703,0.0,0.22972972972972971,0.8946873545646667,7.381747722625732,gcm_hamming,gcm_hamming,11323,2757.927077867469,-1104.579448426346,690.4663409357017,1.1696070952851467,4.2420422447320325,0.9648192982456141,1.0,0.9490627118644068,113319.36804444087,110561.4409665734,113364.9468740873,113410.48358673378,112356.48675593545,111666.02041499974,57.0,32.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,out,48,48.0,,0.2524096928204666,2.7162399291992188,0.9865784151498437,0.11240536719560623,0.990990990990991,0.0,0.009009009009009028,0.08734414726495743,11.127728462219238,rulex,gcm_hamming,11323,644.7829810245894,16550.932898458108,1719.291987679855,1.458532947443422,3.433496875730229,0.7568408521303258,1.0,0.7457135593220339,113319.36804444087,112674.58506341628,113262.59902900978,113335.98318428322,97842.94415263803,96123.65216495817,57.0,48.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,out,74,74.0,,0.7436267002972705,0.8323314785957336,0.9999080713366427,0.0005752500728704035,1.0,0.0,0.0,0.0028857954312115908,17.16347885131836,rulex,gcm_circular,11323,13302.95266687838,58785.48269882657,2671.1991177256423,8.529552420184924,0.05,0.273228320802005,1.0,0.2542864406779661,113319.36804444087,113461.46289651794,100016.41537756249,101097.82405084893,43902.13179646156,41230.93267873592,57.0,74.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,both,0,0.0,,0.007476803891541302,5.003945827484131,0.0058834344548630265,5.003945827484131,0.0,0.009009009009009009,0.990990990990991,5.003945827484131,0.0,uniform,gcm_hamming,11323,-3448.655887411529,3439.5711469760427,-9.334591334336437,0.2,0.05,0.9999,0.0,0.9999,113319.36804444087,116768.0239318524,116768.38329643532,116919.707059329,113328.45278487635,113337.78737621069,61.0,0.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,both,1,1.0,,0.031078281235924692,4.484187126159668,0.030796102224673653,4.481430530548096,0.0,0.04054054054054054,0.9594594594594594,5.251047134399414,-0.7575436234474182,gcm_circular,gcm_circular,11323,16720.917002796807,-16190.040872697515,-35.17118525647675,8.529552420184924,0.05,0.9748423558897243,0.0,0.9829542372881356,113319.36804444087,113440.16726428404,96598.45104164406,97643.41210455223,112788.49191434158,112823.66309959805,61.0,1.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,both,2,2.0,,0.02477254301414287,4.54703426361084,0.02132744989887847,4.5410380363464355,0.009009009009009009,0.02702702702702703,0.9639639639639639,5.214955806732178,-0.682313859462738,gcm_circular,gcm_circular,11323,11561.703741669335,-11242.520936251196,-9.792418037643074,6.839903786706791,0.05,0.982359649122807,0.06,0.9829542372881356,113319.36804444087,113322.06595272894,101757.66430277153,103557.14278692528,113000.18523902273,113009.97765706037,61.0,2.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,both,3,3.0,,0.016575083325826502,4.678655624389648,0.016087516087516088,4.6735405921936035,0.0045045045045045045,0.018018018018018018,0.9774774774774775,5.156649589538574,-0.5235417485237122,gcm_circular,gcm_circular,11323,5384.284598469414,-5275.952133063998,-36.40598034852883,4.3984280602251165,0.05,0.9898769423558897,0.0,0.9829542372881356,113319.36804444087,113389.42918482519,107935.08344597145,110581.00302976891,113211.03557903545,113247.44155938398,61.0,3.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,both,4,4.0,,0.019187460589136115,4.697813034057617,0.019488876631733775,4.692887306213379,0.0,0.02252252252252252,0.9774774774774775,5.17545223236084,-0.4947212040424347,gcm_circular,gcm_circular,11323,4089.9791737791675,-3922.0479807517695,-19.41823933448177,4.3984280602251165,0.05,0.9873711779448622,0.0,0.9829542372881356,113319.36804444087,113492.45948146336,109229.3888706617,111294.52676958367,113151.43685141347,113170.85509074795,61.0,4.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,both,6,6.0,,0.029727051616971444,4.642111301422119,0.029325243610957896,4.621968746185303,0.0045045045045045045,0.02702702702702703,0.9684684684684686,5.256594181060791,-0.6397320628166199,gcm_circular,gcm_circular,11323,2205.5300389525073,-1730.0002577813866,-25.776717509899754,3.527128184768097,0.05,0.9773481203007519,0.0,0.9829542372881356,113319.36804444087,113506.3858595709,111113.83800548836,112121.2787603788,112843.83826326975,112869.61498077965,61.0,6.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,both,8,8.0,,0.027745248175840013,4.661200523376465,0.028589814304100018,4.635941982269287,0.0045045045045045045,0.03153153153153153,0.963963963963964,5.241975784301758,-0.6262866258621216,gcm_circular,gcm_circular,11323,1623.078712582268,-1210.0141504382045,-16.922026528060087,2.8284271247461907,0.05,0.9798538847117795,0.0,0.9829542372881356,113319.36804444087,113472.52101240316,111696.2893318586,112436.66738552376,112906.3034822968,112923.22550882486,61.0,8.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,both,12,12.0,,0.08810017115575174,3.745286226272583,0.10617760617760617,3.630434513092041,0.009009009009009009,0.09009009009009009,0.9009009009009009,12.061932563781738,-8.253379821777344,rule,gcm_circular,11323,1866.5835343596118,1497.6320205381053,-10.11293794948142,2.8284271247461907,0.05,0.9172097744360902,0.04,0.915171186440678,113319.36804444087,113432.5815129609,111452.78451008126,112299.28722900673,109955.15248954315,109965.26542749263,61.0,12.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,both,16,16.0,,0.1289973876227367,3.4482738971710205,0.1593123735980879,3.2650458812713623,0.0045045045045045045,0.1036036036036036,0.8918918918918919,11.970629692077637,-8.347031593322754,rule,gcm_circular,11323,1762.171748280205,4237.580302160073,-10.863716129824752,2.8284271247461907,0.05,0.8771175438596491,0.0,0.8812796610169492,113319.36804444087,113380.44756469148,111557.19629616066,112337.14572090431,107319.61599400059,107330.47971013041,61.0,16.0,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,both,24,24.0,,0.14359066750743177,3.3655354976654053,0.20840227983085127,2.9520039558410645,0.009009009009009009,0.08558558558558559,0.9054054054054054,11.116545677185059,-7.5007781982421875,rule,gcm_circular,11323,1858.9311105009692,5133.999623233074,-8.026713359358837,2.8284271247461907,0.05,0.8645887218045113,0.06,0.8643338983050848,113319.36804444087,113353.6280692753,111460.4369339399,112190.22121948525,106326.43731070682,106334.46402406618,61.0,24.0,,,,
