arch,condition,seed,task,rho,wd,step,basis,side,mode,energy_share,rank,dc_share
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,39,0.007401508408974181,25,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,40,0.005785599301048554,54,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,41,0.05343273519870699,6,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,42,0.005566938084655631,58,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,43,0.006680465666408945,38,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,44,0.004992052132154462,67,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,45,0.09644285869349133,1,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,46,0.04819731181459209,8,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,47,0.007939659716908135,19,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,48,0.006077392522236369,48,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,49,0.004738551493738506,70,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,50,0.007281193518725918,28,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,51,0.00857658272501153,15,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,52,0.0072590821845758815,30,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,53,0.006872173577006853,35,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,54,0.004455721027615355,74,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,55,0.006602067291059495,42,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,56,0.006772788151301966,37,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,57,0.008541362258804457,16,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,58,0.013195302491901952,11,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,59,0.006661565320838785,40,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,60,0.007280206082697203,29,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,61,0.015349480236758715,10,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,62,0.007475878327361867,24,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,63,0.004574967630727226,72,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,64,0.0060576054381596845,49,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,65,0.0077941615809129765,22,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,66,0.05834107824031265,5,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,67,0.005538652509617973,59,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,68,0.008369704911636562,17,0.0064653756813070964
