arch,step_over_grok,family,share
transformer,0.001,rule family,
transformer,0.0011689518164985776,rule family,0.0
transformer,0.0013664483492953259,rule family,0.0
transformer,0.001597312280060254,rule family,0.0
transformer,0.0018671810912919207,rule family,0.0
transformer,0.0021826447283974874,rule family,0.0
transformer,0.0025514065200312875,rule family,0.0
transformer,0.002982471286216891,rule family,0.0
transformer,0.0034863652276780842,rule family,0.0
transformer,0.004075392965871778,rule family,0.0
transformer,0.004763938010401341,rule family,0.0
transformer,0.005568813990945267,rule family,0.0
transformer,0.00650967523045817,rule family,0.0
transformer,0.007609496685459876,rule family,0.0
transformer,0.008895134973108237,rule family,0.0
transformer,0.0103979841848149,rule family,0.0
transformer,0.012154742500762865,rule family,0.0
transformer,0.014208308325339224,rule family,0.0
transformer,0.016608827826277157,rule family,0.0
transformer,0.019414919457438805,rule family,0.0
transformer,0.022695105366946685,rule family,0.0
transformer,0.02652948464431896,rule family,0.0
transformer,0.031011689265747787,rule family,0.0
transformer,0.036251170499885334,rule family,0.0
transformer,0.04237587160604064,rule family,0.0
transformer,0.0495353520895917,rule family,0.0
transformer,0.05790443980602486,rule family,0.0
transformer,0.06768750009458535,rule family,0.0
transformer,0.07912342618981323,rule family,0.0
transformer,0.09249147277217336,rule family,0.0
transformer,0.10811807510766078,rule family,0.0
transformer,0.12638482029342984,rule family,0.0
transformer,0.1477377652598511,rule family,0.0
transformer,0.17269832906594343,rule family,0.0
transformer,0.2018760254679039,rule family,0.0
transformer,0.23598334667821938,rule family,0.0
transformer,0.2758531617629184,rule family,0.05555555555555555
transformer,0.32245905452963947,rule family,0.05555555555555555
transformer,0.376939097538836,rule family,0.1111111111111111
transformer,0.44062364277735727,rule family,0.2222222222222222
transformer,0.5150678076168121,rule family,0.3888888888888889
transformer,0.6020894493336132,rule family,0.9444444444444444
transformer,0.7038135554931555,rule family,1.0
transformer,0.8227241341700465,rule family,1.0
transformer,0.9617248711152965,rule family,1.0
transformer,1.1242100350620863,rule family,1.0
transformer,1.3141473626117568,rule family,1.0
transformer,1.536174946671828,rule family,1.0
transformer,1.795714494371641,rule family,1.0
transformer,2.0991037201085545,rule family,1.0
transformer,2.4537511066398165,rule family,1.0
transformer,2.868316813342012,rule family,1.0
transformer,3.3529241492495565,rule family,1.0
transformer,3.919406774847221,rule family,1.0
transformer,4.581597669054491,rule family,1.0
transformer,5.3556669177068965,rule family,1.0
transformer,6.260516572014821,rule family,1.0
transformer,7.318242219076174,rule family,1.0
transformer,8.554672535565684,rule family,1.0
transformer,10.0,rule family,1.0
transformer,0.001,exemplar,
transformer,0.0011689518164985776,exemplar,0.0
transformer,0.0013664483492953259,exemplar,0.0
transformer,0.001597312280060254,exemplar,0.0
transformer,0.0018671810912919207,exemplar,0.0
transformer,0.0021826447283974874,exemplar,0.0
transformer,0.0025514065200312875,exemplar,0.2222222222222222
transformer,0.002982471286216891,exemplar,0.2857142857142857
transformer,0.0034863652276780842,exemplar,0.3333333333333333
