condition,arch,task,joint,rho,wd,seed,grok_step,non_grokking,steps_run,cap,t_half_test_acc,t_switch_rule_or_rulex,mech_metric,t_half_mech,t_half_mech_corrected,mech_window_start,t_train_mem_reg,t_gen_persist,W_mem_to_gen_reg,t_half_mech_finalmode,mech_mode_stable,mech_final_mode,t_half_mech_use,regime_seq,switch_rel_grok,peak_overreg,t_peak_overreg,t_exc_memorized,acc_exc_at_grok,mem_to_grok_ratio,final_acc_exc,final_overreg
mamba_add_rho0.02_wd0.1_tiersNone,mamba,add,False,0.02,0.1,1001,650.0,False,6500,20000,481.449902460407,425.0,fourier_conc_final_eq,309.4904945512829,309.4904945512829,,450.0,650.0,200.0,223.60679774997897,False,23.0,309.4904945512829,gcm>rulex,0.6538461538461539,0.0990990990990991,500.0,825.0,0.9234234234234234,1.2692307692307692,1.0,0.0
mamba_add_rho0.02_wd0.1_tiersNone,mamba,add,False,0.02,0.1,1002,475.0,False,4750,20000,372.1208867349988,325.0,fourier_conc_final_eq,164.4598147848536,164.4598147848536,,375.0,475.0,100.0,,False,61.0,164.4598147848536,uniform>gcm>rulex,0.6842105263157895,0.1666666666666666,450.0,725.0,0.8648648648648649,1.5263157894736843,1.0,0.0
mamba_add_rho0.02_wd0.3_tiersNone,mamba,add,False,0.02,0.3,1000,350.0,False,3500,20000,269.9576636811199,250.0,fourier_conc_final_eq,131.3251052276649,131.3251052276649,,300.0,350.0,50.0,,False,73.0,131.3251052276649,gcm>rulex,0.7142857142857143,0.3333333333333333,300.0,775.0,0.6396396396396397,2.2142857142857144,0.9954954954954957,0.0045045045045045
mamba_add_rho0.02_wd0.3_tiersNone,mamba,add,False,0.02,0.3,1001,600.0,False,6000,20000,458.4272466362482,400.0,fourier_conc_final_eq,283.3320179331995,283.3320179331995,,425.0,600.0,175.0,575.0,False,23.0,283.3320179331995,gcm>rulex,0.6666666666666666,0.09009009009009,500.0,900.0,0.90990990990991,1.5,1.0,0.0
mamba_add_rho0.02_wd0.3_tiersNone,mamba,add,False,0.02,0.3,1002,475.0,False,4750,20000,369.8585661132091,325.0,fourier_conc_final_eq,188.9373573776762,188.9373573776762,,375.0,475.0,100.0,,False,6.0,188.9373573776762,uniform>gcm>rulex,0.6842105263157895,0.1666666666666666,425.0,800.0,0.8153153153153153,1.6842105263157894,0.9954954954954957,0.0045045045045045
mamba_add_rho0.05_wd0.1_tiersNone,mamba,add,False,0.05,0.1,1000,525.0,False,5250,20000,304.10367245752644,250.0,fourier_conc_final_eq,149.73723673969542,149.73723673969542,,325.0,525.0,200.0,,False,39.0,149.73723673969542,gcm>rulex,0.47619047619047616,0.1693693693693693,325.0,675.0,0.90990990990991,1.2857142857142858,0.9981981981981982,0.0018018018018018
mamba_add_rho0.05_wd0.1_tiersNone,mamba,add,False,0.05,0.1,1001,1250.0,False,12500,20000,641.1108134647584,525.0,fourier_conc_final_eq,313.58936014084793,313.58936014084793,,475.0,1325.0,850.0,550.0,False,69.0,313.58936014084793,gcm>rulex,0.42,0.0288288288288288,575.0,725.0,0.9855855855855856,0.58,0.9981981981981982,0.0018018018018018
mamba_add_rho0.05_wd0.1_tiersNone,mamba,add,False,0.05,0.1,1002,1125.0,False,11250,20000,657.042844413315,550.0,fourier_conc_final_eq,319.4731110129213,319.4731110129213,,475.0,1125.0,650.0,6000.0,False,27.0,319.4731110129213,gcm>rulex,0.4888888888888889,0.036036036036036,750.0,700.0,0.9801801801801802,0.6222222222222222,1.0,0.0
mamba_add_rho0.05_wd0.3_tiersNone,mamba,add,False,0.05,0.3,1000,525.0,False,5250,20000,315.6131444099072,275.0,fourier_conc_final_eq,153.14533574712928,153.14533574712928,,325.0,525.0,200.0,,False,26.0,153.14533574712928,gcm>rulex,0.5238095238095238,0.1675675675675675,350.0,700.0,0.9081081081081082,1.3333333333333333,0.9945945945945946,0.0036036036036036
mamba_add_rho0.05_wd0.3_tiersNone,mamba,add,False,0.05,0.3,1001,1050.0,False,10500,20000,672.598644744872,525.0,fourier_conc_final_eq,329.483901592917,329.483901592917,,525.0,1050.0,525.0,500.0,False,68.0,329.483901592917,gcm>rulex,0.5,0.054054054054054,750.0,800.0,0.9783783783783784,0.7619047619047619,0.9981981981981982,0.0018018018018018
mamba_add_rho0.05_wd0.3_tiersNone,mamba,add,False,0.05,0.3,1002,1225.0,False,12250,20000,485.15309691631836,350.0,fourier_conc_final_eq,156.55462424232968,156.55462424232968,,425.0,1375.0,950.0,273.8612787525831,True,8.0,156.55462424232968,gcm>rulex,0.2857142857142857,0.0936936936936937,325.0,775.0,0.9855855855855856,0.6326530612244898,0.9981981981981982,0.0
mamba_add_rho0_wd0.1_tiersNone,mamba,add,False,0.0,0.1,1000,425.0,False,1425,20000,348.11502058220196,300.0,fourier_conc_final_eq,169.05519449345638,169.05519449345638,,350.0,425.0,75.0,174.92728232196083,True,70.0,169.05519449345638,gcm>rule,0.7058823529411765,,,,,,,
mamba_add_rho0_wd0.1_tiersNone,mamba,add,False,0.0,0.1,1001,525.0,False,1525,20000,455.4872922241301,425.0,fourier_conc_final_eq,305.45405877495597,305.45405877495597,,425.0,525.0,100.0,,False,62.0,305.45405877495597,gcm>rule,0.8095238095238095,,,,,,,
mamba_add_rho0_wd0.1_tiersNone,mamba,add,False,0.0,0.1,1002,425.0,False,1425,20000,355.0675170331564,300.0,fourier_conc_final_eq,153.043171112012,153.043171112012,,375.0,425.0,50.0,158.11388300841895,True,35.0,153.043171112012,gcm>rule,0.7058823529411765,,,,,,,
mamba_add_rho0_wd0.3_tiersNone,mamba,add,False,0.0,0.3,1000,350.0,False,1350,20000,298.4029556271109,325.0,fourier_conc_final_eq,152.59250237688477,152.59250237688477,,325.0,350.0,25.0,325.0,False,70.0,152.59250237688477,gcm>rule,0.9285714285714286,,,,,,,
mamba_add_rho0_wd0.3_tiersNone,mamba,add,False,0.0,0.3,1001,400.0,False,1400,20000,345.30445627597663,325.0,fourier_conc_final_eq,185.3801764001689,185.3801764001689,,350.0,400.0,50.0,165.33080091312084,True,43.0,185.3801764001689,gcm>rule,0.8125,,,,,,,
